ID; Error; A; n; w_PIGM; w_opt; wlse_PIGM; wlse_opt; wlse_sig; Sum(w_opt) 
1 ; 0 ; 1/2,7,6,7,1/5,1/6,1/4,1,1/3,1/5,6,3,9,1/9,1,3,1/7,1/9,1/3,7,1/8 ; 7 ; 0.1815,0.2077,0.1014,0.0745,0.0877,0.1941,0.1532 ; 0.1815,0.2077,0.1014,0.0745,0.0877,0.1941,0.1532 ; 8.614488 ; 8.614488 ; 8.6145 ; 1 
2 ; 0 ; 9,1/7,7,2,9,2,8,1,1/5,1/4,2,1/7,9,1/9,1/6,1/8,1/8,7,3,5,1/4,1/9,4,1/3,1/8,1,7,7,1/4,4,6,2,3,1/2,1/3,1/7,1/4,1/5,1/5,1/9,1/4,1/5,1/3,1/4,1/6,1/5,9,1/3,7,7,1/2,1/5,3,1/6,1/7,1/4,2,7,1/4,9,1/3,1/2,1/5,1/6,1/5,8,1/5,1,5,1/8,1/8,1/6,1/5,1/6,3,1/9,1/6,1/5 ; 13 ; 0.084,0.0346,0.072,0.0429,0.1192,0.0554,0.1054,0.0448,0.0684,0.0467,0.0613,0.1367,0.1285 ; 0.084,0.0346,0.072,0.0429,0.1192,0.0554,0.1054,0.0448,0.0684,0.0467,0.0613,0.1367,0.1285 ; 8.370085 ; 8.370085 ; 8.3701 ; 1 
3 ; 0 ; 1/4,1/7,1,2,1/2,1/7,1/3,4,1/9,1/4,1/9,5,1/9,1/7,1/7 ; 6 ; 0.1377,0.0932,0.128,0.0945,0.1745,0.372 ; 0.1377,0.0932,0.128,0.0945,0.1745,0.372 ; 7.492928 ; 7.492928 ; 7.4929 ; 1 
4 ; 0 ; 1/6,1/2,2,7,1/2,1/3 ; 4 ; 0.1104,0.4446,0.0906,0.3544 ; 0.1104,0.4446,0.0906,0.3544 ; 0.919324 ; 0.919324 ; 0.9193 ; 1 
5 ; 0 ; 1,6,1/3,5,9,9,2,5,4,1/3,6,1/7,6,1/2,8 ; 6 ; 0.2193,0.4179,0.0409,0.2378,0.0486,0.0355 ; 0.2193,0.4179,0.0409,0.2378,0.0486,0.0355 ; 0.8506539 ; 0.8506539 ; 0.8507 ; 1 
6 ; 0 ; 5,3,2,1/8,1/9,1/7,1/6,1/3,1/3,1/8,1,1/2,7,1/9,6,7,1/4,1/7,1/7,3,7,1/5,1/7,9,2,8,1/8,4,1,1/7,1/3,5,7,6,9,4,7,1/8,2,7,1/4,5,5,1/9,1/3,1/3,6,8,9,1/9,1/5,1/2,4,8,5,1/5,8,5,1/3,1/2,5,1/7,8,4,2,1/6,1,4,4,1/9,1/7,4,7,1/4,4,1/6,1/9,9,6,1/2,1/3,3,2,3,4,9,9,7,5,1/2,1/4 ; 14 ; 0.0458,0.0518,0.104,0.0525,0.0739,0.0989,0.0727,0.0499,0.1037,0.1129,0.0677,0.0643,0.0385,0.0633 ; 0.0458,0.0518,0.104,0.0525,0.0739,0.0989,0.0727,0.0499,0.1037,0.1129,0.0677,0.0643,0.0385,0.0633 ; 10.10634 ; 10.10634 ; 10.1063 ; 1 
7 ; 0 ; 1/8,1/9,4,2,1/7,1/5,1/7,3,2,2,1/8,1/5,1/2,1/9,1/7,8,5,1/3,2,1/8,1/9,1/5,1/8,9,3,8,2,5,1/6,1/2,8,1/3,3,4,6,1/8,2,6,1/8,9,1/5,1/2,1/3,1/4,2,1/4,3,1/9,9,1/2,9,1/9,7,9,7,1/5,1/3,4,8,1/3,1/7,1/5,1/3,6,8,1/2 ; 12 ; 0.0457,0.0495,0.1121,0.1466,0.0809,0.0841,0.0583,0.1075,0.0779,0.0732,0.0869,0.0773 ; 0.0457,0.0495,0.1121,0.1466,0.0809,0.0841,0.0583,0.1075,0.0779,0.0732,0.0869,0.0773 ; 10.51147 ; 10.51147 ; 10.5115 ; 1 
8 ; 0 ; 6,8,7,1/6,5,8 ; 4 ; 0.7539,0.0817,0.1129,0.0514 ; 0.7539,0.0817,0.1129,0.0514 ; 0.5213388 ; 0.5213388 ; 0.5213 ; 1 
9 ; 0 ; 1/7,1/5,4,1/6,1/8,7,7,2,1/2,3,1/9,9,1/9,6,3,1,1/2,1/4,2,1/7,1/4,1/2,1,2,1/8,2,1/9,7,4,1/9,1/2,1/8,1/9,1,9,4,1/6,1/4,9,1/6,8,1/4,1,1,1/4 ; 10 ; 0.0777,0.0817,0.1221,0.0577,0.0587,0.2125,0.0894,0.1134,0.1084,0.0785 ; 0.0777,0.0817,0.1221,0.0577,0.0587,0.2125,0.0894,0.1134,0.1084,0.0785 ; 9.098497 ; 9.098497 ; 9.0985 ; 1 
10 ; 0 ; 1/9,1/2,1/3,1/8,1/9,7,1/6,2,1/2,1/9,1/3,1,1,1/6,5,1/3,4,1/2,7,4,1/8,8,5,6,1/3,7,9,1/4 ; 8 ; 0.0466,0.1027,0.1721,0.1634,0.1366,0.2282,0.0715,0.079 ; 0.0466,0.1027,0.1721,0.1634,0.1366,0.2282,0.0715,0.079 ; 7.03675 ; 7.03675 ; 7.0368 ; 1 
